den	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	over9
1	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
2	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
3	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
4	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
5	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
6	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
7	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
8	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
9	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
10	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
11	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
12	99800	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
13	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
14	99564	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
15	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
16	99330	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
17	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
18	99099	99981	100000	100000	100000	100000	100000	100000	100000	100000	100000
19	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
20	98954	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
21	99951	99951	100000	100000	100000	100000	100000	100000	100000	100000	100000
22	98699	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
23	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
24	98583	99930	99997	100000	100000	100000	100000	100000	100000	100000	100000
25	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
26	98494	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
27	99915	99915	100000	100000	100000	100000	100000	100000	100000	100000	100000
28	98360	99993	99993	100000	100000	100000	100000	100000	100000	100000	100000
29	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
30	98213	99892	100000	100000	100000	100000	100000	100000	100000	100000	100000
31	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
32	98177	99991	99991	100000	100000	100000	100000	100000	100000	100000	100000
33	99900	99900	100000	100000	100000	100000	100000	100000	100000	100000	100000
34	98084	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
35	99998	99998	99998	99998	100000	100000	100000	100000	100000	100000	100000
36	97893	99830	99988	100000	100000	100000	100000	100000	100000	100000	100000
37	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
38	98046	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
39	99838	99838	100000	100000	100000	100000	100000	100000	100000	100000	100000
40	98021	99969	99969	99992	100000	100000	100000	100000	100000	100000	100000
41	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
42	97769	99813	100000	100000	100000	100000	100000	100000	100000	100000	100000
43	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
44	97903	99982	99982	100000	100000	100000	100000	100000	100000	100000	100000
45	99801	99801	99992	99992	100000	100000	100000	100000	100000	100000	100000
46	97831	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
47	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
48	97595	99769	99962	99999	99999	100000	100000	100000	100000	100000	100000
49	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
50	97755	99996	99996	99996	100000	100000	100000	100000	100000	100000	100000
